"DEVICE_ID","BEGIN","END","POSITION","COMMENT"

# access node mapping
# access node Matterhorn 2008-07-24 00:00:00+02:00 until 2008-08-07 12:49:00+02:00
"1","2008-07-24 00:00:00+02:00","2008-08-07 12:49:59+02:00","0","access node"

# access node Matterhorn 2008-08-07 12:50:00+02:00 until 2008-08-08 12:00:00+02:00
"2","2008-08-07 12:50:00+02:00","2008-08-08 12:00:00+02:00","0","access node"

# access node Matterhorn 2008-08-08 12:00:01+02:00 until 2008-08-21 18:40:43+02:00
"1","2008-08-08 12:00:01+02:00","2008-08-21 18:40:43+02:00","0","access node"

# access node Matterhorn 2008-08-21 18:40:44+02:00 until 2008-08-27 08:59:10+02:00
"0","2008-08-21 18:40:44+02:00","2008-08-27 08:59:10+02:00","0","access node"

# access node Matterhorn 2008-08-27 08:59:11+02:00 until 2008-08-28 19:20:00+02:00
"1","2008-08-27 08:59:11+02:00","2008-08-28 19:20:00+02:00","0","access node"

# access node Matterhorn 2008-08-28 19:21:00+02:00 until 2008-09-02 20:58:00+02:00
"0","2008-08-28 19:20:01+02:00","2008-09-02 20:58:00+02:00","0","access node"

# access node Matterhorn 2008-09-02 20:59:00+02:00 until 2010-06-23 10:30:00+02:00
"1","2008-09-02 20:58:01+02:00","2010-06-23 10:30:00+02:00","0","access node"

# access node Matterhorn 2010-06-23 10:31:00+02:00 until 2011-08-19
"0","2010-06-23 10:30:01+02:00","2011-08-19 09:08:03+02:00","0","access node"

# access node Matterhorn 2011-08-19 until open end
"7","2011-08-19 09:08:03+02:00","9999-01-01 00:00:00","0","access node"


# sensor node mapping
# Deployment Matterhorn 25.07.2008 00:00:00+02:00 until 27.08.2008 00:00:00+02:00
"2021","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","1","detachment right"
"2022","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","2","detachment bottom lower"
"2023","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","3","north top"
"2024","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","4","pass north"
"2025","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","5","detachment top right"
"2035","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","6","detachment top left"
"2027","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","7","tower middle"
"2028","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","8","tower bottom"
"2030","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","10","south face"
"2029","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","11","face north"
"2032","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","12","tower top"
"2034","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","13","detachment bottom upper"
"2016","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","14","powerbox"
"2020","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","15","relay lower tower"
"2031","2008-07-25 00:00:00+02:00","2008-08-27 00:00:00+02:00","16","relay detachment top"

# Deployment Matterhorn 28.08.2008 00:00:00+02:00 until 19.11.2008 00:00:00+01:00
"2008","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","1","detachment right"
"2012","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","2","detachment bottom lower"
"2006","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","3","north top"
"2003","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","4","pass north"
"2015","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","5","detachment top right"
"2014","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","6","detachment top left"
"2007","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","7","tower middle"
"2005","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","8","tower bottom"
"2002","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","10","south face"
"2004","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","11","face north"
"2010","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","12","tower top"
"2011","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","13","detachment bottom upper"
"2016","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","14","powerbox"
"2020","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","15","relay lower tower"
"2031","2008-08-28 00:00:00+02:00","2008-11-19 00:00:00+01:00","16","relay detachment top"

# Deployment Matterhorn 20.11.2008 00:00:00+01:00 until 19.03.2009 00:00:00+01:00
"2023","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","1","detachment right"
"2029","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","2","detachment bottom lower"
"2019","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","3","north top"
"2036","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","4","pass north"
"2039","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","5","detachment top right"
"2018","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","6","detachment top left"
"2025","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","7","tower middle"
"2021","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","8","tower bottom"
"2028","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","10","south face"
"2022","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","11","face north"
"2024","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","12","tower top"
"2030","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","13","detachment bottom upper"
"2040","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","14","powerbox"
"2034","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","15","relay lower tower"
"2035","2008-11-20 00:00:00+01:00","2009-03-19 00:00:00+01:00","16","relay detachment top"

# Deployment Matterhorn 20.03.2009 00:00:00+01:00 until 19.08.2009 00:00:00+02:00
"2023","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","1","detachment right"
"2029","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","2","detachment bottom lower"
"2019","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","3","north top"
"2036","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","4","pass north"
"2039","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","5","detachment top right"
"2018","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","6","detachment top left"
"2025","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","7","tower middle"
"2021","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","8","tower bottom"
"2028","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","10","south face"
"2022","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","11","face north"
"2020","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","12","tower top"
"2030","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","13","detachment bottom upper"
"2040","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","14","powerbox"
"2041","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","15","relay lower tower"
"2017","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","16","relay detachment top"
"2038","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","17","relay ridge 1"
"2031","2009-03-20 00:00:00+01:00","2009-08-19 00:00:00+02:00","18","relay ridge 2"

# Deployment Matterhorn 22.08.2009 00:00:00+02:00 until 01.09.2009 00:00:00+02:00
"2023","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","1","detachment right"
"2039","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","2","detachment bottom lower"
"2035","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","3","north top"
"2021","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","4","pass north"
"2019","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","5","detachment top right"
"2022","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","6","detachment top left"
"2024","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","7","tower middle"
"2011","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","8","tower bottom"
"2029","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","10","south face"
"2036","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","11","face north"
"2018","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","12","tower top"
"2028","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","13","detachment bottom upper"
"2042","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","14","powerbox"
"2033","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","15","relay lower tower"
"2034","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","16","relay detachment top"
"2031","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","18","relay ridge 2"
"2222","2009-08-22 00:00:00+02:00","2009-09-01 00:00:00+02:00","19","mountainview camera"

# Deployment Matterhorn 02.09.2009 00:00:00+02:00 until 2010-06-22
"2023","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","1","detachment right"
"2039","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","2","detachment bottom lower"
"2035","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","3","north top"
"2021","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","4","pass north"
"2019","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","5","detachment top right"
"2022","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","6","detachment top left"
"2024","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","7","tower middle"
"2003","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","8","tower bottom"
"2029","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","10","south face"
"2036","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","11","face north"
"2018","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","12","tower top"
"2028","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","13","detachment bottom upper"
"2042","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","14","powerbox"
"2030","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","15","relay lower tower"
"2034","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","16","relay detachment top"
"2033","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","17","relay ridge 1"
"2031","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","18","relay ridge 2"
"2222","2009-09-02 00:00:00+02:00","2010-06-22 00:00:00+02:00","19","mountainview camera"

# Deployment Matterhorn 22.06.2010 00:00:00+02:00 until open end
"2088","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","1","detachment right"
"2063","2010-06-24 08:06:00+02:00","2010-12-16 12:00:00+01:00","2","detachment bottom lower"
"2074","2010-06-23 13:17:00+02:00","9999-01-01 00:00:00","3","north top"
"2082","2010-06-24 13:00:00+02:00","2012-07-19 13:00:00+02:00","4","pass north"
"2068","2012-07-19 13:00:00+02:00","9999-01-01 00:00:00","4","pass north"
"2067","2010-06-23 13:57:00+02:00","2012-06-15 14:00:00","5","detachment top right"
"2072","2010-06-23 13:50:00+02:00","9999-01-01 00:00:00","6","detachment top left"
"2076","2010-06-22 12:54:00+02:00","2011-05-26 10:50:00+02:00","7","tower middle"
"2087","2010-06-22 13:03:00+02:00","2010-12-16 12:00:00+01:00","8","tower bottom"
"2078","2010-06-24 10:03:00+02:00","2010-07-27 12:06:00+02:00","9","leaning tower 3d"
"2065","2010-07-27 12:06:00+02:00","2010-09-01 11:08:00+02:00","9","leaning tower 3d"
"2090","2010-06-22 11:55:00+02:00","2012-06-15 14:00:00","10","south face"
"2084","2010-06-22 13:54:00+02:00","9999-01-01 00:00:00","11","face north"
"2059","2010-06-22 12:40:00+02:00","9999-01-01 00:00:00","12","tower top"
"2069","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","13","detachment bottom upper"
"2020","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","14","powerbox"
"2066","2010-06-24 13:00:00+02:00","2010-09-01 10:07:00+02:00","16","relay detachment top"
"2089","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","17","relay ridge 1"
"2031","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","18","relay ridge 2"
"5000","2010-06-24 13:00:00+02:00","2011-02-02 10:40:00+01:00","19","mountainview camera"
"2061","2010-06-24 08:41:00+02:00","2011-08-19 00:00:00","20","detachment south crack"
"2094","2010-06-23 11:14:00+02:00","9999-01-01 00:00:00","21","south large bottom crack"
"2080","2010-06-24 13:00:00+02:00","2012-08-10 13:00:00","22","north bottom flank"
"6000","2010-06-24 13:00:00+02:00","9999-01-01 00:00:00","23","webcam power switch"
# added on 2010-09-01
"2055","2010-09-01 11:08:00+02:00","9999-01-01 00:00:00","9","leaning tower 3d"
"2056","2010-09-01 10:07:00+02:00","2010-12-16 12:36:00+01:00","16","relay detachment top"
"2052","2010-09-01 10:43:00+02:00","9999-01-01 00:00:00","24","new relay"
# 2010-12-16, added vaisala, added gps, replaced nodes with low bat
"2056","2010-12-16 12:36:00+01:00","2011-05-26 10:00:00+02:00","2","detachment bottom lower"
"2091","2010-12-16 12:00:00+01:00","9999-01-01 00:00:00","8","tower bottom"
"2070","2010-12-16 12:00:00+01:00","2012-07-19 13:00:00+01:00","25","Weather Station"
"2127","2012-07-19 13:00:00+01:00","9999-01-01 00:00:00","25","Weather Station"
"6001","2010-12-16 12:00:00+01:00","9999-01-01 00:00:00","26","L2 GPS Power Switch"
# 2011-02-02, replaced cam01 baseboardv2
"5001","2011-02-02 11:05:00+01:00","2012-06-15 14:00:00","19","mountainview camera"
"2081","2011-05-26 10:00:00+02:00","2012-08-19 16:00:00+02:00","2","detachment bottom lower"
"2068","2011-05-26 10:50:00+02:00","2012-06-15 14:00:00","7","tower middle"
# Mobotix Camera from Klein Matterhorn
"6010","2011-05-26 11:00:00+02:00","2011-10-026 00:00:00","27","KMH Radar Webcam"
# 2012-06-15, crackmeter re-install, new camzilla board
"2063","2012-06-15 12:00:00","2012-08-19 16:00:00+02:00","20","detachment south crack"
"2128","2012-06-15 14:00:00","2012-08-10 13:00:00","5","detachment top right"
"2102","2012-06-15 14:00:00","2012-08-11 13:00:00","7","tower middle"
"2104","2012-06-15 14:00:00","9999-01-01 00:00:00","10","south face"
"5015","2012-06-15 14:00:00","9999-01-01 00:00:00","19","mountainview camera"
# 2012-08-10
"2118","2012-08-10 13:00:00","9999-01-01 00:00:00","5","detachment top right"
"2062","2012-08-10 13:00:00","9999-01-01 00:00:00","22","north bottom flank"
"2117","2012-08-11 13:00:00","9999-01-01 00:00:00","7","tower middle"
# 2012-08-19 install 30 sec nodes
"2115","2012-08-19 16:00:00+02:00","9999-01-01 00:00:00","20","detachment south crack"
"2114","2012-08-19 16:00:00+02:00","9999-01-01 00:00:00","2","detachment bottom lower"
"2106","2012-08-19 16:00:00+02:00","9999-01-01 00:00:00","28","Powerbox 2nd Couloir"
"2063","2012-08-19 16:00:00+02:00","9999-01-01 00:00:00","29","USB AE Box"
"2081","2012-08-19 16:00:00+02:00","9999-01-01 00:00:00","30","Test Hoernlihut"
